@relation indri-question-results

@attribute indrirank numeric
@attribute indriscore numeric
@attribute correct {yes,no}

@data
5,-7.4797187716,no
6,-7.4878194598,no
7,-7.5207594688,no
8,-7.5236766384,no
9,-7.541128483,no
10,-7.5420116384,no
11,-7.5428322971,no
12,-7.567825913,no
13,-7.5703571916,no
14,-7.6019699856,no
15,-7.7278494632,no
16,-7.7526935463,no
17,-7.8189640437,no
18,-7.8295266049,no
19,-7.8300867031,no
20,-7.8515633922,no
1,-8.9090494543,no
2,-8.933637933,no
3,-8.9552548021,no
4,-9.0208468314,no
5,-9.0365472365,no
6,-9.037875246,no
7,-9.0567549614,yes
8,-9.0940704072,no
9,-9.1023601685,no
10,-9.111015347,no
11,-9.1262398501,no
12,-9.1267279051,no
13,-9.1306106574,no
14,-9.1451716085,no
15,-9.15885362,no
16,-9.1602856603,no
17,-9.1631559311,no
18,-9.1665176077,no
19,-9.168043009,no
20,-9.1704150209,no
1,-8.9949093441,no
2,-9.0128886694,no
3,-9.0342702404,no
4,-9.037805811,no
5,-9.0550975254,no
6,-9.0570928988,no
7,-9.0699401458,no
8,-9.1188853543,no
9,-9.1241217999,no
10,-9.1344660896,yes
11,-9.153909294,no
12,-9.163820818,no
13,-9.1762940071,no
14,-9.1795835578,no
15,-9.1887602085,no
16,-9.1927747583,no
17,-9.1950497803,no
18,-9.2020382119,no
19,-9.2109007271,no
20,-9.2115036673,no
1,-7.8294050473,no
2,-7.9027212279,no
3,-7.9114162643,no
4,-7.9893386833,yes
5,-8.0856242103,no
6,-8.1289439779,no
7,-8.228004268,no
8,-8.2775964876,no
9,-8.2827079894,no
10,-8.2892434885,no
11,-8.2965778272,no
12,-8.2966241118,no
13,-8.3025262673,no
14,-8.326974378,no
15,-8.3599888499,no
16,-8.3744046938,no
17,-8.3875227384,no
18,-8.3940936929,no
19,-8.4153946317,no
20,-8.4165243912,no
1,-7.6353697537,yes
2,-7.7937670972,no
3,-7.9235923055,yes
4,-7.9844355238,no
5,-8.0563322519,no
6,-8.0812881632,yes
7,-8.1022433164,no
8,-8.1778472764,no
9,-8.1849850572,no
10,-8.2089639862,no
11,-8.2119464635,no
12,-8.227382691,no
13,-8.2529538365,no
14,-8.2603915925,no
15,-8.28532551,no
16,-8.323340556,no
17,-8.3447143369,no
18,-8.3816248376,no
19,-8.3878607269,no
20,-8.4116447779,no
1,-7.2142472714,yes
2,-7.4723449789,no
3,-7.4881742598,no
4,-7.531484704,yes
5,-7.5479200176,no
6,-7.5622340724,no
7,-7.5644650125,no
8,-7.5719575214,no
9,-7.5753329699,no
10,-7.5851439325,no
11,-7.5989544388,no
12,-7.6297669264,yes
13,-7.6400073628,no
14,-7.6406225899,no
15,-7.6442524004,no
16,-7.6458027187,no
17,-7.65416222,no
18,-7.6559809725,no
19,-7.6587671217,no
20,-7.6615165939,no
1,-8.4825036319,no
2,-8.8123378194,no
3,-8.8465253292,yes
4,-8.9810843203,no
5,-8.993228481,no
6,-9.0166363794,no
7,-9.0367700169,no
8,-9.0439562891,yes
9,-9.0564612297,no
10,-9.0702852604,no
11,-9.1557044618,yes
12,-9.1642789083,no
13,-9.1888717661,no
14,-9.1950049712,no
15,-9.196274101,yes
16,-9.1986242124,no
17,-9.2128391884,no
18,-9.2273023894,no
19,-9.2294348883,no
20,-9.2294882148,no
1,-7.4498504161,yes
2,-7.7452681736,no
3,-7.7537670432,no
4,-7.7877765456,no
5,-7.8686841777,no
6,-7.932784766,no
7,-7.9345241802,no
8,-7.967944994,no
9,-7.9701729535,no
10,-7.9762889503,no
11,-8.0062140969,no
12,-8.0093253958,no
13,-8.0109762473,no
14,-8.0266566497,no
15,-8.028859854,no
16,-8.0326684722,yes
17,-8.0346613631,no
18,-8.0391270436,no
19,-8.0555957302,no
20,-8.0644019738,no
1,-8.7418616438,no
2,-9.1669026695,no
3,-9.173595619,no
4,-9.2224213988,yes
5,-9.2335809696,no
6,-9.2556649048,no
7,-9.2580256364,no
8,-9.2716965667,no
9,-9.339465575,no
10,-9.3483195215,no
11,-9.3580139594,no
12,-9.3677432718,yes
13,-9.3706144892,no
14,-9.3781852039,yes
15,-9.3787839198,no
16,-9.3808891027,no
17,-9.383271604,no
18,-9.3855541912,no
19,-9.4039366208,no
20,-9.4201265411,no
1,-6.5537785939,no
2,-6.6780084171,no
3,-6.7833119723,no
4,-7.0323111672,no
5,-7.0412515792,no
6,-7.0662913446,yes
7,-7.069659989,no
8,-7.0882244802,no
9,-7.0970735421,no
10,-7.0974932248,no
11,-7.1005592876,no
12,-7.1055884192,no
13,-7.116431022,no
14,-7.1379362087,no
15,-7.1439737149,no
16,-7.1449087981,no
17,-7.1593190761,no
18,-7.1711369057,no
19,-7.1732778942,no
20,-7.1751892628,no
1,-9.2950428671,no
2,-9.3409227456,no
3,-9.3968046337,no
4,-9.4276727391,no
5,-9.4448897256,no
6,-9.4824138129,no
7,-9.4889735786,yes
8,-9.4897024817,no
9,-9.4908991676,no
10,-9.5402353369,no
11,-9.5432214423,no
12,-9.5829519203,no
13,-9.6016861634,no
14,-9.6477600541,no
15,-9.6582236854,no
16,-9.665138479,no
17,-9.6692258112,no
18,-9.6838880266,no
19,-9.6938729528,no
20,-9.7189628513,no
